Extreme price: 0.0000000000022891378264217967 (sqrt: 119871393679941649757231, raw: 0.0000000000022891378264217967, adjustment: 1)
Extreme price: 0.00000000002272379020417554 (sqrt: 11943179766092158807975171661, raw: 0.022723790204175538, adjustment: 0.000000001)
Extreme price: 0.000000000022742060602879055 (sqrt: 11947980083537183100188810622, raw: 0.022742060602879054, adjustment: 0.000000001)
Extreme price: 0.00000000003768314329226679 (sqrt: 486354730782700263494743, raw: 0.00000000003768314329226679, adjustment: 1)
Extreme price: 960548043130.4371 (sqrt: 77649583311543581356215656221692712, raw: 960548043130.4371, adjustment: 1)
Extreme price: 15485410665.59464 (sqrt: 9859183442972320181679908010799019, raw: 15485410665.59464, adjustment: 1)
Extreme price: 0.0000000000030581072379306434 (sqrt: 138549811440553795573237, raw: 0.0000000000030581072379306434, adjustment: 1)
Extreme price: 15505706508.41532 (sqrt: 9865642261524099466098065068849229, raw: 15505706508.41532, adjustment: 1)
Extreme price: 0.00000000005542640325653678 (sqrt: 589845040724976357221512, raw: 0.00000000005542640325653678, adjustment: 1)
Extreme price: 0.0000000000010673822580451846 (sqrt: 81853937133752958482876, raw: 0.0000000000010673822580451846, adjustment: 1)
Extreme price: 0.0000000000015219174965467496 (sqrt: 97740631053257241620776, raw: 0.0000000000015219174965467496, adjustment: 1)
Extreme price: 0.000000000022814202496021548 (sqrt: 11966915646031771106000525286, raw: 0.022814202496021545, adjustment: 0.000000001)
Extreme price: 0.0000000000022930736182724873 (sqrt: 119974398888378044972328, raw: 0.0000000000022930736182724873, adjustment: 1)
Extreme price: 0.000000000023196035035389097 (sqrt: 12066642937235324620082554208, raw: 0.023196035035389095, adjustment: 0.000000001)
Extreme price: 0.0000000000006391305553759354 (sqrt: 2002969674830085127687283866, raw: 0.0006391305553759354, adjustment: 0.000000001)
Extreme price: 0.000000000023488151737847165 (sqrt: 12142385187213676643329412865, raw: 0.023488151737847164, adjustment: 0.000000001)
Extreme price: 0.000000000023726208015103022 (sqrt: 12203762596254836092150324970, raw: 0.02372620801510302, adjustment: 0.000000001)
Extreme price: 0.000000000023872436884121598 (sqrt: 12241311816681604107674955149, raw: 0.023872436884121596, adjustment: 0.000000001)
Extreme price: 0.000000000023887210070234946 (sqrt: 12245098929180521708837298081, raw: 0.023887210070234945, adjustment: 0.000000001)
Extreme price: 113648610893.06526 (sqrt: 26709247324871315467290308375159145, raw: 113648610893.06526, adjustment: 1)
Extreme price: 111662274648.24115 (sqrt: 26474807987437770397418356695193048, raw: 111662274648.24115, adjustment: 1)
Extreme price: 15508714205.068161 (sqrt: 9866599051864295391344269881124500, raw: 15508714205.068161, adjustment: 1)
Extreme price: 968713288306.8403 (sqrt: 77978919350828431453859267957683611, raw: 968713288306.8403, adjustment: 1)
Extreme price: 0.0000000000030454345388173555 (sqrt: 138262440411765336752251, raw: 0.0000000000030454345388173555, adjustment: 1)
Extreme price: 965678516705.8435 (sqrt: 77856677896246549251020191903282952, raw: 965678516705.8435, adjustment: 1)
Extreme price: 752211735553.7306 (sqrt: 68714697049630869630902462656754716, raw: 752211735553.7306, adjustment: 1)
Extreme price: 0.0000000000023096508436819275 (sqrt: 120407281004983819748632, raw: 0.0000000000023096508436819275, adjustment: 1)
Extreme price: 0.000000000023936980053282227 (sqrt: 12257848874593544299417185955, raw: 0.023936980053282226, adjustment: 0.000000001)
Extreme price: 0.000000000023935563922457855 (sqrt: 12257486277174411929636378615, raw: 0.023935563922457853, adjustment: 0.000000001)
Extreme price: 0.000000000024157934284314804 (sqrt: 12314292964658175947071522608, raw: 0.024157934284314803, adjustment: 0.000000001)
Extreme price: 0.00000000006473273923163366 (sqrt: 20157727792765260369701625692, raw: 0.06473273923163365, adjustment: 0.000000001)
Extreme price: 0.000000000024119102892101264 (sqrt: 12304392005295456383135900506, raw: 0.024119102892101264, adjustment: 0.000000001)
Extreme price: 0.0000000000000000009246268330142899 (sqrt: 76183834887061767406, raw: 0.0000000000000000009246268330142899, adjustment: 1)
Extreme price: 953695147664.7115 (sqrt: 77372097466955219394347101346383453, raw: 953695147664.7115, adjustment: 1)
Extreme price: 0.00000000002367304807189154 (sqrt: 12190083311198601389880292594, raw: 0.023673048071891536, adjustment: 0.000000001)
Extreme price: 0.0000000000000000009340280874723342 (sqrt: 76570159519048214993, raw: 0.0000000000000000009340280874723342, adjustment: 1)
Extreme price: 0.00000000002219737805487904 (sqrt: 373276305582493997170992, raw: 0.00000000002219737805487904, adjustment: 1)
Extreme price: 0.0000000000000000009345753440538032 (sqrt: 76592587852936079151, raw: 0.0000000000000000009345753440538032, adjustment: 1)
Extreme price: 0.000000000023900012006197987 (sqrt: 12248379763865417650165640957, raw: 0.023900012006197985, adjustment: 0.000000001)
Extreme price: 15504159934.455803 (sqrt: 9865150238606869677066954292025686, raw: 15504159934.455803, adjustment: 1)
Extreme price: 0.000000000023307718003676975 (sqrt: 12095656953170592935225024541, raw: 0.023307718003676973, adjustment: 0.000000001)
Extreme price: 340256786836388130000000000000000000000000000000000 (sqrt: 1461446703485210103287273052203988822378723970341, raw: 340256786836388130000000000000000000000, adjustment: 1000000000000)
Extreme price: 0.000000000023371006548281426 (sqrt: 12112067773999235873595177250, raw: 0.023371006548281423, adjustment: 0.000000001)
Extreme price: 0.0000000000000000009455420250085923 (sqrt: 77040661251461685774, raw: 0.0000000000000000009455420250085923, adjustment: 1)
